id,category,dose_mg,regimen,phase,population,n,metric,value,units,dispersion,dispersion_type,ci_lower,ci_upper,source_doc,source_page,source_table,verification_status,notes
EXP01,exposure,180,QD,Phase 1 Part 1A fasted,NSCLC patients,6,tmax,0.73,hr,0.50-1.2,range,NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Median (range). Day 8 steady state
EXP02,exposure,180,QD,Phase 1 Part 1A fasted,NSCLC patients,6,Cmax,6.44,ug/mL,67,CV% (arithmetic mean 7.63),NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Geometric mean. Arithmetic mean 7.63
EXP03,exposure,180,QD,Phase 1 Part 1A fasted,NSCLC patients,6,AUC0-24h,31.7,hr*ug/mL,89,CV% (arithmetic mean 40.8),NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Geometric mean. Arithmetic mean 40.8
EXP04,exposure,180,QD,Phase 1 Part 1A fasted,NSCLC patients,6,t_half_z,5.13,hr,1.99,SD,NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Mean (SD)
EXP05,exposure,360,QD,Phase 1 Part 1A fasted,NSCLC patients,24,tmax,1.0,hr,0.50-4.0,range,NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Median (range)
EXP06,exposure,360,QD,Phase 1 Part 1A fasted,NSCLC patients,24,Cmax,6.31,ug/mL,43,CV% (arithmetic mean 7.33),NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Geometric mean
EXP07,exposure,360,QD,Phase 1 Part 1A fasted,NSCLC patients,24,AUC0-24h,38.9,hr*ug/mL,49,CV% (arithmetic mean 43.7),NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Geometric mean. HIGHEST AUC of any dose except 720
EXP08,exposure,360,QD,Phase 1 Part 1A fasted,NSCLC patients,24,t_half_z,5.53,hr,1.84,SD,NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Mean (SD)
EXP09,exposure,720,QD,Phase 1 Part 1A fasted,NSCLC patients,11,tmax,1.1,hr,0.53-4.0,range,NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Median (range)
EXP10,exposure,720,QD,Phase 1 Part 1A fasted,NSCLC patients,11,Cmax,5.45,ug/mL,50,CV% (arithmetic mean 6.76),NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Geometric mean
EXP11,exposure,720,QD,Phase 1 Part 1A fasted,NSCLC patients,11,AUC0-24h,42.1,hr*ug/mL,49,CV% (arithmetic mean 48.5),NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Geometric mean. HIGHEST AUC across all doses
EXP12,exposure,720,QD,Phase 1 Part 1A fasted,NSCLC patients,11,t_half_z,4.75,hr,1.16,SD,NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Mean (SD)
EXP13,exposure,960,QD,Phase 1 Part 1A fasted,NSCLC patients,24,tmax,1.1,hr,0.22-6.5,range,NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Median (range)
EXP14,exposure,960,QD,Phase 1 Part 1A fasted,NSCLC patients,24,Cmax,5.39,ug/mL,65,CV% (arithmetic mean 6.82),NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Geometric mean. LOWEST Cmax across all four doses
EXP15,exposure,960,QD,Phase 1 Part 1A fasted,NSCLC patients,24,AUC0-24h,32.4,hr*ug/mL,75,CV% (arithmetic mean 42.3),NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Geometric mean. Approved dose. Nearly identical to 180 mg (31.7)
EXP16,exposure,960,QD,Phase 1 Part 1A fasted,NSCLC patients,24,t_half_z,5.07,hr,1.08,SD,NA,NA,FDA NDA 214665 MDR,94,Sotorasib Steady-State PK Parameters (unnumbered),VERIFIED,Mean (SD). Half-life stable across doses - supports F not CL as the nonlinear parameter
