block,parameter,description,unit,final_estimate,ci_lower,ci_upper,bootstrap_estimate,fda_t35_value,source,notes
Structural,Ka,First-order absorption rate constant between transit compartments and from last transit compartment to central,1/hr,7.87,7.29,8.45,7.81,7.854,AAPS Table II,Single shared Ka across all transit steps. MTT=(n+1)/Ka with n=3 -> 4/7.87=0.508 h. Paper reports 0.51 h. Confirmed.
Structural,CLBS,Apparent clearance at baseline (TAFD=0),L/hr,21.6,18.4,24.8,21.9,21.6,AAPS Table II,CL/F. Oral data cannot separate CL from F.
Structural,CLSS,Apparent clearance at steady state,L/hr,41.3,36.7,46.0,41.3,41.3,AAPS Table II,91% increase vs baseline. CYP3A4 autoinduction.
Structural,KIND_F,Induction rate coefficient,1/hr,0.00845,0.00703,0.00987,0.00849,0.00845,AAPS Table II,Same Kind modulates BOTH F1 and CL. Steady state in approx 2 weeks.
Structural,V2,Apparent volume of central compartment,L,220,198,242,220,219,AAPS Table II,V2/F. FDA table rounds to 219.
Structural,K24,Rate constant central to peripheral,1/hr,0.0269,0.0237,0.0302,0.028,0.0269,AAPS Table II,Model parameterized in rate constants not Q/V.
Structural,K42,Rate constant peripheral to central,1/hr,0.0421,0.0301,0.0541,0.0464,0.0420,AAPS Table II,
Bioavailability_baseline,F1BS_DG1,Baseline F1 dose group 1 (120 180 240 mg),ratio to F1SS_DG5,4.95,2.77,7.13,5.19,4.95,AAPS Table II,LUMPED GROUP. 240 mg never studied as an assigned dose in this dataset. See CAVEATS.
Bioavailability_baseline,F1BS_DG2,Baseline F1 dose group 2 (360 mg),ratio to F1SS_DG5,3.43,2.78,4.08,3.48,3.44,AAPS Table II,FDA lists 3.44; AAPS lists 3.43.
Bioavailability_baseline,F1BS_DG3,Baseline F1 dose group 3 (480 mg),ratio to F1SS_DG5,2.93,2.14,3.73,2.97,2.94,AAPS Table II,480 mg was given BID in patients.
Bioavailability_baseline,F1BS_DG4,Baseline F1 dose group 4 (600 720 840 mg),ratio to F1SS_DG5,2.30,1.65,2.94,2.32,2.30,AAPS Table II,
Bioavailability_baseline,F1BS_DG5,Baseline F1 dose group 5 (960 mg),ratio to F1SS_DG5,1.52,1.39,1.66,1.54,1.53,AAPS Table II,F1BS/F1SS = 1.52 -> 34.2% decrease at steady state for 960 mg.
Bioavailability_steadystate,F1SS_DG1,Steady-state F1 dose group 1 (120 180 240 mg),ratio to F1SS_DG5,4.58,2.70,6.46,4.66,4.58,AAPS Table II,WIDEST CI IN TABLE. Carries the entire low-dose exposure argument.
