block,parameter,description,unit,base_model_mean,base_model_pct_rse,final_model_mean,final_model_pct_rse,source_page,notes
Structural,TVKA,First-order absorption rate constant between transit compartments and from last transit compartment to central compartment,1/hr,6.92,3.1,7.854,3.8,237,Three transit absorption compartments per model description p231
Structural,CLBS,Apparent clearance at baseline (TAFD=0),L/hr,26.7,6.9,21.6,7.5,237,Apparent clearance CL/F; oral data cannot separate CL from F
Structural,CLSS,Apparent clearance at steady state,L/hr,45.3,3.6,41.3,5.3,237,CLSS/CLBS = 1.91 consistent with reported 91% increase from autoinduction p231
Structural,KIND_F,Induction rate coefficient,1/hr,0.00859,10.0,0.00845,8.8,237,Exponential induction function; t-half of induction = ln(2)/0.00845 = 82 hr
Structural,TVS2,Apparent volume of distribution of central compartment,L,198,4.1,219,4.8,237,V2/F
Structural,K24,Rate constant central to peripheral,1/hr,0.0322,8.1,0.0269,5.8,237,Two-compartment disposition parameterized as rate constants not Q/V
Structural,K42,Rate constant peripheral to central,1/hr,0.0674,14.3,0.0420,14.6,237,
Bioavailability_baseline,F1BS_DG1,Baseline relative bioavailability dose group 1 (120 mg 180 mg 240 mg),ratio to F1SS_DG5,4.94,22.8,4.95,22.7,237,CRITICAL: 120/180/240 mg lumped into one dose group; estimate not specific to 240 mg
Bioavailability_baseline,F1BS_DG2,Baseline relative bioavailability dose group 2 (360 mg),ratio to F1SS_DG5,3.36,10.3,3.44,9.6,237,
Bioavailability_baseline,F1BS_DG3,Baseline relative bioavailability dose group 3 (480 mg),ratio to F1SS_DG5,3.88,16.7,2.94,13.5,237,
Bioavailability_baseline,F1BS_DG4,Baseline relative bioavailability dose group 4 (600 mg 720 mg 840 mg),ratio to F1SS_DG5,2.36,14.7,2.30,14.8,237,
Bioavailability_baseline,F1BS_DG5,Baseline relative bioavailability dose group 5 (960 mg),ratio to F1SS_DG5,1.55,4.8,1.53,4.4,237,Reference dose group; value >1 vs steady-state reference reflects autoinduction of F
Bioavailability_steadystate,F1SS_DG1,Steady-state relative bioavailability dose group 1 (120 mg 180 mg 240 mg),ratio to F1SS_DG5,4.44,22.1,4.58,21.9,237,Highest RSE in table (21.9%); this parameter carries the low-dose exposure argument
Bioavailability_steadystate,F1SS_DG2,Steady-state relative bioavailability dose group 2 (360 mg),ratio to F1SS_DG5,2.71,9.0,2.86,9.2,237,
Bioavailability_steadystate,F1SS_DG3,Steady-state relative bioavailability dose group 3 (480 mg),ratio to F1SS_DG5,1.75,16.9,1.43,15.6,237,Non-monotonic vs DG4 in final model
Bioavailability_steadystate,F1SS_DG4,Steady-state relative bioavailability dose group 4 (600 mg 720 mg 840 mg),ratio to F1SS_DG5,1.52,8.7,1.58,8.2,237,
Bioavailability_steadystate,F1SS_DG5,Steady-state relative bioavailability dose group 5 (960 mg),ratio to F1SS_DG5,1,NA,1,NA,237,FIXED reference = 1
Covariate_CL,CLECOGBL1,ECOG baseline fully active on CL,proportional change,NA,NA,0.149,32.4,238,Reference = Restricted (ECOG 1)
Covariate_CL,CLECOGBL2,ECOG baseline ambulatory on CL,proportional change,NA,NA,-0.0752,146.0,238,RSE 146% - parameter not identifiable; n=11 (2.2%) in dataset
Covariate_CL,CLSEX1,Female on CL,proportional change,NA,NA,-0.161,27.3,238,Reference = Male
Covariate_CL,CLTUM_BS1,Baseline tumor size <=70 mm on CL,proportional change,NA,NA,0.118,37.9,238,Reference = >70 mm. Smaller tumor = higher CL = lower exposure
Covariate_CL,CLTUM_BS2,Baseline tumor size healthy (0 mm) on CL,proportional change,NA,NA,0.634,17.9,238,Healthy volunteers; +63% CL vs patients with >70mm tumor
